,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
41662,lököttää,bag,bag,lököttää,,,,,
41663,löllyä,fat,fat,löllyä,,,,,
41664,lönkytellä,jog,jog,lönkytellä,,,,,
41665,lönkyttää,jog,jog,lönkyttää,,,,,
41666,löntystellä,saunter,saunter,löntystellä,,,,,
41667,löntystää,saunter,saunter,löntystää,,,,,
41668,löpistä,chatter,chatter,löpistä,,,,,
41669,lörpötellä,chatter,chatter,lörpötellä,,,,,
41670,lörpöttää,chatter,chatter,lörpöttää,,,,,
41671,lörötellä,do,do,lörötellä,,,,,
41672,lötkötellä,do,do,lötkötellä,,,,,
41673,lötköttää,do,do,lötköttää,,,,,
41674,löyhdyttää,loosen,loosen,löyhdyttää,,,,,
41675,löyhentyä,be loosened,be loosened,löyhentyä,,,,,
41676,löyhentää,loosen,loosen,löyhentää,,,,,
41677,löyhetä,loosen,loosen,löyhetä,,,,,
41678,löyhkätä,stink,stink,löyhkätä,,,,,
41679,löyhtyä,loosen,loosen,löyhtyä,,,,,
41680,löyhytellä,do,do,löyhytellä,,,,,
41681,löyhyttää,do,do,löyhyttää,,,,,
41682,löyhähdellä,do,do,löyhähdellä,,,,,
41683,löyhähtää,do,do,löyhähtää,,,,,
41684,löylyttää,trounce someone,trounce someone,löylyttää,,,,,
41685,löysentyä,be loosened,be loosened,löysentyä,,,,,
41686,löysentää,loosen,loosen,löysentää,,,,,
41687,löysetä,do,do,löysetä,,,,,
41688,löystyttää,do,do,löystyttää,,,,,
41689,löystyä,loosen,loosen,löystyä,,,,,
41690,löysätä,slack off,slack off,löysätä,,,,,
41691,löytyä,be found,be found,löytyä,,,,,
41692,löytää,find,find,löytää,,,,,
41805,maalauttaa,have,have,maalauttaa,,,,,
42170,magnetisoida,magnetize,magnetize,magnetisoida,,,,,
42199,magnetoida,magnetize,magnetize,magnetoida,,,,,
42368,maikkua,fidget,fidget,maikkua,,,,,
42453,maiskauttaa,smack,smack,maiskauttaa,,,,,
42454,maiskuttaa,smack,smack,maiskuttaa,,,,,
42483,maistattaa,have something tasted,have something tasted,maistattaa,,,,,
42568,majailla,dwell,dwell,majailla,,,,,
42681,maksaa maltaita,cost the earth,cost the earth,maksaa maltaita,,,,,
42682,maksaa takaisin,pay back,pay back,maksaa takaisin,,,,,
42795,maksullistaa,make something subject to charge,make something subject to charge,maksullistaa,,,,,
42964,mallata,adjust,adjust,mallata,,,,,
43049,manailla,swear,swear,manailla,,,,,
43106,manifestoida,manifest,manifest,manifestoida,,,,,
43219,manöveroida,do,do,manöveroida,,,,,
43220,manövroida,do,do,manövroida,,,,,
43221,mapittaa,file,file,mapittaa,,,,,
43502,martioida,emboss,emboss,martioida,,,,,
43587,maskata,mask,mask,maskata,,,,,
43588,massata,coat with anticorrosive material,coat with anticorrosive material,massata,,,,,
43673,matemaattistaa,mathematize,mathematize,matemaattistaa,,,,,
43702,matematisoida,mathematize,mathematize,matematisoida,,,,,
43731,materiaalistaa,materialize,materialize,materiaalistaa,,,,,
43760,materialisoida,materialize,materialize,materialisoida,,,,,
43817,matkailla,travel,travel,matkailla,,,,,
44014,mehevöityä,become,become,mehevöityä,,,,,
44155,meistää,punch,punch,meistää,,,,,
44212,mekanisoida,mechanize,mechanize,mekanisoida,,,,,
44269,mekkaloida,make noise,make noise,mekkaloida,,,,,
44326,mellottaa,do,do,mellottaa,,,,,
44355,melskata,make noise,make noise,melskata,,,,,
44384,mendelöidä,mendelize,mendelize,mendelöidä,,,,,
