,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
52138,nytkäyttää,jerk,jerk,nytkäyttää,,,,,
52139,nyyhkiä,sob,sob,nyyhkiä,,,,,
52140,nyyhkyttää,sob,sob,nyyhkyttää,,,,,
52141,nyyhkäistä,snuffle once while weeping,snuffle once while weeping,nyyhkäistä,,,,,
52142,nyysiä,steal,steal,nyysiä,,,,,
52143,nyökkiä,do,do,nyökkiä,,,,,
52144,nyökkäillä,nod,nod,nyökkäillä,,,,,
52145,nyökytellä,nod,nod,nyökytellä,,,,,
52146,nyökyttää,nod,nod,nyökyttää,,,,,
52147,nyökähdellä,nod,nod,nyökähdellä,,,,,
52148,nyökätä,nod,nod,nyökätä,,,,,
52149,nyökäyttää,nod,nod,nyökäyttää,,,,,
52150,nähdä punaista,see red,see red,nähdä punaista,,,,,
52151,nähdä,see,see,nähdä,,,,,
52152,näivettyä,wilt,wilt,näivettyä,,,,,
52153,näivettää,wilt,wilt,näivettää,,,,,
52154,näkyä,be visible,be visible,näkyä,,,,,
52155,nälkiinnyttää,starve someone,starve someone,nälkiinnyttää,,,,,
52156,nälkiintyä,starve,starve,nälkiintyä,,,,,
52157,nälväistä,english,english,nälväistä,,,,,
52158,nälättää,do,do,nälättää,,,,,
52159,näpelöidä,finger,finger,näpelöidä,,,,,
52160,näpertää,do,do,näpertää,,,,,
52161,näpistellä,pilfer,pilfer,näpistellä,,,,,
52162,näpistää,pilfer,pilfer,näpistää,,,,,
52163,näppäillä,pluck,pluck,näppäillä,,,,,
52164,närkästyttää,offend someone,offend someone,närkästyttää,,,,,
52165,närkästyä,become offended,become offended,närkästyä,,,,,
52166,närästää,do,do,närästää,,,,,
52167,nävertää,do,do,nävertää,,,,,
52168,näykkiä,nibble,nibble,näykkiä,,,,,
52169,näykkäistä,snap,snap,näykkäistä,,,,,
52170,näytellä,act,act,näytellä,,,,,
52171,näyttäytyä,show up,show up,näyttäytyä,,,,,
52172,näyttää,show,show,näyttää,,,,,
52173,näännyttää,exhaust,exhaust,näännyttää,,,,,
52174,nääntyä nälkään,starve,starve,nääntyä nälkään,,,,,
52175,nääntyä,languish,languish,nääntyä,,,,,
52176,nököttää,english,english,nököttää,,,,,
52177,nöyhtäytyä,become fluffy,become fluffy,nöyhtäytyä,,,,,
52178,nöyhtääntyä,become fluffy,become fluffy,nöyhtääntyä,,,,,
52179,nöyristellä,fawn,fawn,nöyristellä,,,,,
52180,nöyrryttää,do,do,nöyrryttää,,,,,
52181,nöyrtyä,humble,humble,nöyrtyä,,,,,
52182,nöyryyttää,humiliate,humiliate,nöyryyttää,,,,,
52183,obdusoida,conduct an autopsy,conduct an autopsy,obdusoida,,,,,
52380,oheta,thin,thin,oheta,,,,,
52381,ohitella,overtake,overtake,ohitella,,,,,
52606,oi'istaa,do,do,oi'istaa,,,,,
52607,oi'istua,do,do,oi'istua,,,,,
52664,oikaistua,do,do,oikaistua,,,,,
52721,oikkuilla,be whimsical,be whimsical,oikkuilla,,,,,
52750,oikoilla,straighten,straighten,oikoilla,,,,,
52807,oirehtia,be symptomatic of,be symptomatic of,oirehtia,,,,,
52864,ojennella,stretch,stretch,ojennella,,,,,
53117,oksetuttaa,cause to vomit,cause to vomit,oksetuttaa,,,,,
53146,oksidoida,oxidize,oxidize,oksidoida,,,,,
53175,oksittua,grow branches,grow branches,oksittua,,,,,
53400,omavaraistaa,make selfcontained,make selfcontained,omavaraistaa,,,,,
53541,ompeluttaa,have sewn by somebody else,have sewn by somebody else,ompeluttaa,,,,,
53598,onnahdella,limp,limp,onnahdella,,,,,
53599,onnahtaa,limp once,limp once,onnahtaa,,,,,
53600,onnellistaa,make happy,make happy,onnellistaa,,,,,
53601,onnellistuttaa,create happiness,create happiness,onnellistuttaa,,,,,
53602,onnestaa,do,do,onnestaa,,,,,
53771,ootrata,grain,grain,ootrata,,,,,
53772,opalisoida,opalize,opalize,opalisoida,,,,,
53801,opastella,do,do,opastella,,,,,
53914,oppia kantapään kautta,learn the hard way,learn the hard way,oppia kantapään kautta,,,,,
54223,orkestroida,orchestrate,orchestrate,orkestroida,,,,,
54224,ornamentoida,ornament,ornament,ornamentoida,,,,,
54225,orneerata,decorate,decorate,orneerata,,,,,
54366,osoitella,point,point,osoitella,,,,,
54367,osoittaa mieltään,demonstrate,demonstrate,osoittaa mieltään,,,,,
54452,ostattaa,make someone buy,make someone buy,ostattaa,,,,,
54453,ostella,shop,shop,ostella,,,,,
54482,osuttaa,do,do,osuttaa,,,,,
54511,otattaa,cause to take,cause to take,otattaa,,,,,
54568,otsonisoida,ozonize,ozonize,otsonisoida,,,,,
54569,otsonoida,ozonize,ozonize,otsonoida,,,,,
54570,ottaa iisisti,take it easy,take it easy,ottaa iisisti,,,,,
54571,ottaa kantaa,take a stance on,take a stance on,ottaa kantaa,,,,,
54572,ottaa kiinni,catch,catch,ottaa kiinni,,,,,
54573,ottaa käyttöön,put to use,put to use,ottaa käyttöön,,,,,
54574,ottaa osaa,participate,participate,ottaa osaa,,,,,
54575,ottaa parempaan käyttöön,repurpose,repurpose,ottaa parempaan käyttöön,,,,,
54576,ottaa selvää,determine,determine,ottaa selvää,,,,,
54577,ottaa vaarin,take advantage,take advantage,ottaa vaarin,,,,,
54578,ottaa varteen,take into account,take into account,ottaa varteen,,,,,
54663,oudostella,do,do,oudostella,,,,,
54692,ounastaa,have a hunchsuspicionfeeling,have a hunchsuspicionfeeling,ounastaa,,,,,
54721,ovuloida,ovulate,ovulate,ovuloida,,,,,
54722,paaduttaa,harden,harden,paaduttaa,,,,,
54723,paahdella,do,do,paahdella,,,,,
54836,paalittaa,bale,bale,paalittaa,,,,,
54865,paanuttaa,shingle,shingle,paanuttaa,,,,,
54866,paapattaa,gabble,gabble,paapattaa,,,,,
54867,paapia,sleep,sleep,paapia,,,,,
54896,paarustaa,drag,drag,paarustaa,,,,,
55093,pahastuttaa,upset,upset,pahastuttaa,,,,,
55178,paheta,worsen,worsen,paheta,,,,,
55179,pahoinpidellä,maul,maul,pahoinpidellä,,,,,
55264,paikallistaa,localize,localize,paikallistaa,,,,,
55377,paikkailla,patch,patch,paikkailla,,,,,
55378,paikkamaalata,patch paint,patch paint,paikkamaalata,,,,,
55379,paikkauttaa,have something patched,have something patched,paikkauttaa,,,,,
55380,paikkuuttaa,do,do,paikkuuttaa,,,,,
55381,paikoittaa,park,park,paikoittaa,,,,,
55410,painaa villaisella,downplay,downplay,painaa villaisella,,,,,
55551,painekyllästää,impregnate with pressure,impregnate with pressure,painekyllästää,,,,,
55804,paiskella,do,do,paiskella,,,,,
55805,paiskia,throw,throw,paiskia,,,,,
55862,paistatella,do,do,paistatella,,,,,
55863,paistattaa,do,do,paistattaa,,,,,
55948,paisuttaa,inflate,inflate,paisuttaa,,,,,
55949,pajattaa,patter,patter,pajattaa,,,,,
56034,pakastekuivattaa,do,do,pakastekuivattaa,,,,,
56119,paketoida,pack,pack,paketoida,,,,,
56148,pakista,chat,chat,pakista,,,,,
56205,pakkailla,pack,pack,pakkailla,,,,,
56206,pakkauttaa,do,do,pakkauttaa,,,,,
56207,pakkolomauttaa,do,do,pakkolomauttaa,,,,,
56208,pakkolunastaa,expropriate,expropriate,pakkolunastaa,,,,,
56209,pakkoluovuttaa,surrender property in an expropriation,surrender property in an expropriation,pakkoluovuttaa,,,,,
56210,pakkosyöttää,do,do,pakkosyöttää,,,,,
56211,paklata,spackle,spackle,paklata,,,,,
56212,pakoilla,flee,flee,pakoilla,,,,,
56213,pakollistaa,make compulsory,make compulsory,pakollistaa,,,,,
56326,paksuta,do,do,paksuta,,,,,
56355,palaa loppuun,burn out,burn out,palaa loppuun,,,,,
56440,palauttaa mieleensä,recollect,recollect,palauttaa mieleensä,,,,,
56749,palkittaa,beam,beam,palkittaa,,,,,
56806,pallottaa,throw a ball at another,throw a ball at another,pallottaa,,,,,
56891,palosuojata,protect from fire,protect from fire,palosuojata,,,,,
56920,palpeerata,palpate,palpate,palpeerata,,,,,
56949,palsamoida,embalm,embalm,palsamoida,,,,,
56950,palstoittaa,do,do,palstoittaa,,,,,
56951,paltata,hem,hem,paltata,,,,,
56952,palttaa,hem,hem,palttaa,,,,,
56953,palvata,cure,cure,palvata,,,,,
57010,pamahdella,bang,bang,pamahdella,,,,,
57095,pamista,english,english,pamista,,,,,
57096,pampattaa,throb,throb,pampattaa,,,,,
57097,pamppailla,throb,throb,pamppailla,,,,,
57126,paneerata,do,do,paneerata,,,,,
57127,paneloida,panel,panel,paneloida,,,,,
57156,paneskella,do,do,paneskella,,,,,
57241,panna jalalla koreasti,dance,dance,panna jalalla koreasti,,,,,
57242,panna merkille,remark,remark,panna merkille,,,,,
57243,panna muistiin,take notes,take notes,panna muistiin,,,,,
57244,panna pystyyn,put something into upright position,put something into upright position,panna pystyyn,,,,,
57245,panna rautoihin,iron,iron,panna rautoihin,,,,,
57246,panna tuulemaan,get into action,get into action,panna tuulemaan,,,,,
57247,panna töpinäksi,step on it,step on it,panna töpinäksi,,,,,
57276,pannoittaa,collar an animal,collar an animal,pannoittaa,,,,,
57473,parafinoida,treat with paraffin,treat with paraffin,parafinoida,,,,,
57502,parahtaa,cry out,cry out,parahtaa,,,,,
57503,parannella,revamp,revamp,parannella,,,,,
57588,parfymoida,perfume,perfume,parfymoida,,,,,
57701,parkaista,cry out,cry out,parkaista,,,,,
57702,parketoida,parquet,parquet,parketoida,,,,,
57843,partioida,scout,scout,partioida,,,,,
57844,partitioida,partition a hard disk,partition a hard disk,partitioida,,,,,
57845,parturoida,barber,barber,parturoida,,,,,
57846,parveilla,swarm,swarm,parveilla,,,,,
57875,paseerailla,do,do,paseerailla,,,,,
57932,paskattaa,need to shit,need to shit,paskattaa,,,,,
57961,pasmata,do,do,pasmata,,,,,
57990,passauttaa,let other people serve,let other people serve,passauttaa,,,,,
57991,passiivistaa,make passive,make passive,passiivistaa,,,,,
58048,passivoida,make passive,make passive,passivoida,,,,,
58077,pasteerailla,do,do,pasteerailla,,,,,
58078,pasteerata,walk,walk,pasteerata,,,,,
58079,pastöroida,pasteurize,pasteurize,pastöroida,,,,,
58108,patentoida,patent,patent,patentoida,,,,,
58221,patistella,do,do,patistella,,,,,
58306,pauhuta,do,do,pauhuta,,,,,
58307,paukahdella,bang,bang,paukahdella,,,,,
58336,paukautella,bang,bang,paukautella,,,,,
58477,pehertää,dustbathe,dustbathe,pehertää,,,,,
58478,pehmentyä,soften,soften,pehmentyä,,,,,
58479,pehmentää,soften,soften,pehmentää,,,,,
58480,pehmetä,soften,soften,pehmetä,,,,,
58481,pehmittää,soften,soften,pehmittää,,,,,
58482,pehmitä,soften,soften,pehmitä,,,,,
58567,peitellä,cover,cover,peitellä,,,,,
58596,peittyä,become covered,become covered,peittyä,,,,,
58597,peittää,cover,cover,peittää,,,,,
58738,pelehtiä,fool around,fool around,pelehtiä,,,,,
58739,peljätä,fear,fear,peljätä,,,,,
58740,pelkistyä,become,become,pelkistyä,,,,,
58741,pelkistää,reduce,reduce,pelkistää,,,,,
58742,pelleillä,clown,clown,pelleillä,,,,,
58743,pelletoida,pelletize,pelletize,pelletoida,,,,,
58744,pelmuta,english,english,pelmuta,,,,,
58801,pelästyä,get scared,get scared,pelästyä,,,,,
58802,pelätä,fear,fear,pelätä,,,,,
58803,penetroida,penetrate,penetrate,penetroida,,,,,
58804,pengertää,embank,embank,pengertää,,,,,
58805,penikoida,pup,pup,penikoida,,,,,
58834,pensastaa,do,do,pensastaa,,,,,
58863,pensselöidä,english,english,pensselöidä,,,,,
58892,perehtyä,get acquainted with,get acquainted with,perehtyä,,,,,
58893,perennoida,english,english,perennoida,,,,,
58894,perforoida,perforate,perforate,perforoida,,,,,
58923,perhostella,swim the butterfly stroke,swim the butterfly stroke,perhostella,,,,,
58924,periytyä,be inherited,be inherited,periytyä,,,,,
58925,periä,inherit,inherit,periä,,,,,
58926,perkelöityä,escalate,escalate,perkelöityä,,,,,
58927,personifioida,personify,personify,personifioida,,,,,
58928,personoida,personalize,personalize,personoida,,,,,
58985,peruskorjata,renovate,renovate,peruskorjata,,,,,
59126,perätä,dun,dun,perätä,,,,,
59127,peräänkuuluttaa,call for,call for,peräänkuuluttaa,,,,,
59128,pesaista,wash quickly,wash quickly,pesaista,,,,,
59129,peseytyä,wash,wash,peseytyä,,,,,
59130,pesiytyä,nest,nest,pesiytyä,,,,,
59131,pesiä,nest,nest,pesiä,,,,,
59188,pestä,wash,wash,pestä,,,,,
59217,petrata,do,do,petrata,,,,,
59218,pettyä,be disappointed,be disappointed,pettyä,,,,,
59219,pettää,cheat,cheat,pettää,,,,,
59248,peuhuta,do,do,peuhuta,,,,,
59305,pidellä,hold,hold,pidellä,,,,,
59306,pidentyä,lengthen,lengthen,pidentyä,,,,,
59307,pidentää,lengthen,lengthen,pidentää,,,,,
59308,pidetä,grow longer,grow longer,pidetä,,,,,
59309,pidätellä,hold back,hold back,pidätellä,,,,,
59310,pidättyä,refrain,refrain,pidättyä,,,,,
59311,pidättäytyä,abstain,abstain,pidättäytyä,,,,,
59312,pidättää,hold back,hold back,pidättää,,,,,
59313,piehtaroida,roll on ground,roll on ground,piehtaroida,,,,,
59314,pieksää,beat,beat,pieksää,,,,,
59315,pielestää,build a pieles,build a pieles,pielestää,,,,,
59316,pieneksyä,belittle,belittle,pieneksyä,,,,,
59317,pienentyä,grow smaller,grow smaller,pienentyä,,,,,
59318,pienentää,make smaller,make smaller,pienentää,,,,,
59319,pienetä,grow smaller,grow smaller,pienetä,,,,,
59320,pieniä,cut into pieces,cut into pieces,pieniä,,,,,
59349,piereksiä,fart,fart,piereksiä,,,,,
59350,piereskellä,fart,fart,piereskellä,,,,,
59351,pierrä,fart,fart,pierrä,,,,,
59352,piestä,beat,beat,piestä,,,,,
59353,pietä,pitch,pitch,pietä,,,,,
59410,pihistellä,skimp,skimp,pihistellä,,,,,
59411,pihistä,fizzle,fizzle,pihistä,,,,,
59412,pihistää,snitch,snitch,pihistää,,,,,
59413,pihiä,scrimp,scrimp,pihiä,,,,,
59442,piikitellä,needle,needle,piikitellä,,,,,
59471,piileksiä,hide,hide,piileksiä,,,,,
59472,piillä,be hidden in,be hidden in,piillä,,,,,
59529,piiluta,english,english,piiluta,,,,,
59530,piimiä,become,become,piimiä,,,,,
59615,piipertää,do,do,piipertää,,,,,
59616,piipittää,tweet,tweet,piipittää,,,,,
59617,piirittää,circle,circle,piirittää,,,,,
59618,piirtää,draw,draw,piirtää,,,,,
59731,pikaviestittää,do,do,pikaviestittää,,,,,
59844,pilkistää,peek out,peek out,pilkistää,,,,,
59845,pilkkiä,ice fish,ice fish,pilkkiä,,,,,
59902,pillahtaa,burst,burst,pillahtaa,,,,,
59931,pillittää,cry,cry,pillittää,,,,,
59932,pilvetä,english,english,pilvetä,,,,,
59933,pilvistyä,grow cloudy,grow cloudy,pilvistyä,,,,,
59962,pimentyä,darken,darken,pimentyä,,,,,
59963,pimentää,darken,darken,pimentää,,,,,
59964,pimetä,darken,darken,pimetä,,,,,
59965,pimittää,conceal,conceal,pimittää,,,,,
60050,pinnallistaa,make,make,pinnallistaa,,,,,
60107,pinnistää,push,push,pinnistää,,,,,
60136,pintaremontoida,reface,reface,pintaremontoida,,,,,
60137,pipertää,do,do,pipertää,,,,,
60222,piristyä,perk up,perk up,piristyä,,,,,
60223,piristä,ring,ring,piristä,,,,,
60224,piristäytyä,refresh,refresh,piristäytyä,,,,,
60225,piristää,refresh,refresh,piristää,,,,,
60226,pirskotella,spurt,spurt,pirskotella,,,,,
60227,pirskottaa,spurt,spurt,pirskottaa,,,,,
60284,pisaroida,drip,drip,pisaroida,,,,,
60285,pisiä,piss,piss,pisiä,,,,,
60314,pissattaa,have the urge to urinate,have the urge to urinate,pissattaa,,,,,
60315,pissittää,have the urge to urinate,have the urge to urinate,pissittää,,,,,
60316,pissiä,piss,piss,pissiä,,,,,
60317,pistellä,do,do,pistellä,,,,,
60346,pistää,poke,poke,pistää,,,,,
60347,pitentyä,do,do,pitentyä,,,,,
60348,pitentää,do,do,pitentää,,,,,
60349,pitkittää,prolong,prolong,pitkittää,,,,,
60350,pitkästyttää,bore,bore,pitkästyttää,,,,,
60351,pitkästyä,get bored,get bored,pitkästyä,,,,,
60352,pitää kovilla,give someone a hard time,give someone a hard time,pitää kovilla,,,,,
60353,pitää silmällä,keep an eye on,keep an eye on,pitää silmällä,,,,,
60354,pitää varansa,watch out,watch out,pitää varansa,,,,,
60355,pitää vettä,and figuratively,and figuratively,pitää vettä,,,,,
60356,pitää,like,like,pitää,,,,,
60413,plankata,do,do,plankata,,,,,
60414,plarata,browse,browse,plarata,,,,,
60415,plaseerata,seat,seat,plaseerata,,,,,
60416,platinoida,platinize,platinize,platinoida,,,,,
60473,plokata,pick,pick,plokata,,,,,
60474,plombeerata,do,do,plombeerata,,,,,
60503,plonkata,ignore a message,ignore a message,plonkata,,,,,
60504,plotata,plot,plot,plotata,,,,,
60505,plumpsahtaa,do,do,plumpsahtaa,,,,,
60506,plussata,sum,sum,plussata,,,,,
60507,podcastata,podcast,podcast,podcastata,,,,,
60732,poikkeuttaa,deflect,deflect,poikkeuttaa,,,,,
60817,poissulkea,do,do,poissulkea,,,,,
60986,polaroida,do,do,polaroida,,,,,
61015,polemikoida,do,do,polemikoida,,,,,
61016,polemisoida,polemicize,polemicize,polemisoida,,,,,
61017,poliittistaa,politicize,politicize,poliittistaa,,,,,
61130,polkaista,english,english,polkaista,,,,,
61187,polkupyöräillä,ride a bike,ride a bike,polkupyöräillä,,,,,
61216,polskuttaa,dabble,dabble,polskuttaa,,,,,
61245,polttaa siltansa,burn bridges,burn bridges,polttaa siltansa,,,,,
61274,polttoitsemurhata,do,do,polttoitsemurhata,,,,,
61275,polttomerkitä,brand,brand,polttomerkitä,,,,,
61304,polvistaa,force somebody to his knees,force somebody to his knees,polvistaa,,,,,
61333,polymerisoida,do,do,polymerisoida,,,,,
61362,polymeroida,polymerize,polymerize,polymeroida,,,,,
61391,pomiloida,talk,talk,pomiloida,,,,,
61476,pompotella,bounce,bounce,pompotella,,,,,
61701,populaaristaa,popularize,popularize,populaaristaa,,,,,
61702,popularisoida,do,do,popularisoida,,,,,
61871,porsia,farrow,farrow,porsia,,,,,
61900,porukoida,english,english,porukoida,,,,,
61901,porvarillistaa,make somebody,make somebody,porvarillistaa,,,,,
61902,posahtaa,explode,explode,posahtaa,,,,,
61903,poseerata,pose,pose,poseerata,,,,,
61904,postimerkittää,stamp,stamp,postimerkittää,,,,,
61933,postuloida,postulate,postulate,postuloida,,,,,
61962,potensoida,english,english,potensoida,,,,,
62047,pottuilla,tease,tease,pottuilla,,,,,
62132,praktikoida,practice,practice,praktikoida,,,,,
62133,praktisoida,do,do,praktisoida,,,,,
62162,predestinoida,predestine,predestine,predestinoida,,,,,
62219,prepata,prep,prep,prepata,,,,,
62220,presisoida,do,do,presisoida,,,,,
62277,privatisoida,do,do,privatisoida,,,,,
62306,problematisoida,problematize,problematize,problematisoida,,,,,
62363,produsoida,produce,produce,produsoida,,,,,
62364,profanoida,english,english,profanoida,,,,,
62393,profetoida,prophecy,prophecy,profetoida,,,,,
62450,progredioida,english,english,progredioida,,,,,
62451,projisioida,do,do,projisioida,,,,,
62480,proletaaristaa,do,do,proletaaristaa,,,,,
62509,proletarisoida,proletarianize,proletarianize,proletarisoida,,,,,
62566,pronssata,bronze,bronze,pronssata,,,,,
62567,pronssittaa,do,do,pronssittaa,,,,,
62568,propagoida,propagate,propagate,propagoida,,,,,
62569,propata,do,do,propata,,,,,
62570,prosessoida,process,process,prosessoida,,,,,
62571,prostituoida,prostitute,prostitute,prostituoida,,,,,
62684,prutkuttaa,chug,chug,prutkuttaa,,,,,
62685,pruukata,be a habit,be a habit,pruukata,,,,,
62686,prässätä,press,press,prässätä,,,,,
62687,prässäyttää,have something pressed,have something pressed,prässäyttää,,,,,
62688,prässäytyä,be pressed,be pressed,prässäytyä,,,,,
62689,psykoanalysoida,psychoanalyze,psychoanalyze,psykoanalysoida,,,,,
62690,psykologioida,psychologize,psychologize,psykologioida,,,,,
62691,psykologisoida,psychologize,psychologize,psykologisoida,,,,,
62888,puettaa,dress up somebody,dress up somebody,puettaa,,,,,
62889,puffata,puff,puff,puffata,,,,,
63058,puhdistuttaa,have something cleaned,have something cleaned,puhdistuttaa,,,,,
63087,puhista,do,do,puhista,,,,,
63116,puhkaista,pierce,pierce,puhkaista,,,,,
63173,puhua läpiä päähänsä,shoot mouth off,shoot mouth off,puhua läpiä päähänsä,,,,,
63314,puikkaroida,english,english,puikkaroida,,,,,
63315,puikkelehtia,weave way,weave way,puikkelehtia,,,,,
63316,puikkia,slink,slink,puikkia,,,,,
63317,puistaa,shake,shake,puistaa,,,,,
63346,puistella,do,do,puistella,,,,,
63459,puksuttaa,chug,chug,puksuttaa,,,,,
63460,pukuilla,cosplay,cosplay,pukuilla,,,,,
63489,puleerata,shine,shine,puleerata,,,,,
63490,pulikoida,english,english,pulikoida,,,,,
63519,pulkkailla,toboggan,toboggan,pulkkailla,,,,,
63576,pullistaa,puff out,puff out,pullistaa,,,,,
63577,pullistella,flex,flex,pullistella,,,,,
63634,pulpahtaa,surface,surface,pulpahtaa,,,,,
63663,pulskistaa,fatten,fatten,pulskistaa,,,,,
63664,pultata,bolt,bolt,pultata,,,,,
63665,pulveroida,english,english,pulveroida,,,,,
63722,pumputa,pump,pump,pumputa,,,,,
63723,punastella,blush,blush,punastella,,,,,
63752,punastuttaa,redden,redden,punastuttaa,,,,,
63781,punehtia,do,do,punehtia,,,,,
63866,punktoida,puncture,puncture,punktoida,,,,,
63951,punoittaa,do,do,punoittaa,,,,,
64036,puolata,spool,spool,puolata,,,,,
64289,pupeltaa,do,do,pupeltaa,,,,,
64318,purastaa,engrave,engrave,purastaa,,,,,
64319,purattaa,have something dismantled,have something dismantled,purattaa,,,,,
64320,pureksia,chew,chew,pureksia,,,,,
64433,puristella,press,press,puristella,,,,,
64490,purjelautailla,windsurf,windsurf,purjelautailla,,,,,
64631,purppuroida,purple,purple,purppuroida,,,,,
64660,purskahdella,spurt out,spurt out,purskahdella,,,,,
64689,purskauttaa,spurt,spurt,purskauttaa,,,,,
64830,pusata,tinker,tinker,pusata,,,,,
64831,pusertaa kuivaksi,squeeze dry,squeeze dry,pusertaa kuivaksi,,,,,
64888,pusia,kiss,kiss,pusia,,,,,
64917,puskuroida,buffer,buffer,puskuroida,,,,,
64918,puskuttaa,puff,puff,puskuttaa,,,,,
64919,pussailla,kiss repeatedly,kiss repeatedly,pussailla,,,,,
64976,putata,putt,putt,putata,,,,,
64977,putoilla,fall,fall,putoilla,,,,,
65174,puurtaa,work hard,work hard,puurtaa,,,,,
65287,pyhittää,sanctify,sanctify,pyhittää,,,,,
65288,pykiä,chap,chap,pykiä,,,,,
65289,pykälöidä,english,english,pykälöidä,,,,,
65290,pyllistää,bend over,bend over,pyllistää,,,,,
65291,pynttäytyä,dress up,dress up,pynttäytyä,,,,,
65292,pyrkiä,strive,strive,pyrkiä,,,,,
65293,pyryttää,blizzard,blizzard,pyryttää,,,,,
65294,pyrytä,do,do,pyrytä,,,,,
65295,pyrähtää,sprint,sprint,pyrähtää,,,,,
65296,pystyillä,demonstrate in an arrogant way,demonstrate in an arrogant way,pystyillä,,,,,
65297,pystyttää,erect,erect,pystyttää,,,,,
65298,pystyä,cut,cut,pystyä,,,,,
65299,pysytellä,stay,stay,pysytellä,,,,,
65300,pysyä,stay,stay,pysyä,,,,,
65301,pysähtyä,stop,stop,pysähtyä,,,,,
65302,pysäköidä,park,park,pysäköidä,,,,,
65303,pysäytellä,stop,stop,pysäytellä,,,,,
65304,pysäyttää,stop,stop,pysäyttää,,,,,
65305,pyydellä,english,english,pyydellä,,,,,
65306,pyydystää,trap,trap,pyydystää,,,,,
65307,pyyhkiytyä,get wiped out,get wiped out,pyyhkiytyä,,,,,
65308,pyyhkiä,wipe,wipe,pyyhkiä,,,,,
65309,pyyhkäistä,wipe quickly,wipe quickly,pyyhkäistä,,,,,
65310,pyyhältää,zoom past,zoom past,pyyhältää,,,,,
65311,pyykätä,wash,wash,pyykätä,,,,,
65312,pyylevöityä,become plump,become plump,pyylevöityä,,,,,
65313,pyytää anteeksi,apologize,apologize,pyytää anteeksi,,,,,
65314,pyytää,request,request,pyytää,,,,,
65315,pyältää,notch,notch,pyältää,,,,,
65316,pyörentää,round,round,pyörentää,,,,,
65317,pyöretä,become round,become round,pyöretä,,,,,
65318,pyöristyä,become rounded,become rounded,pyöristyä,,,,,
65319,pyöristää,round,round,pyöristää,,,,,
65320,pyöritellä,rotate,rotate,pyöritellä,,,,,
65321,pyörittää,rotate,rotate,pyörittää,,,,,
65322,pyöriä,rotate,rotate,pyöriä,,,,,
65323,pyörryttää,do,do,pyörryttää,,,,,
65324,pyörtyä,faint,faint,pyörtyä,,,,,
65325,pyörtää,turn around,turn around,pyörtää,,,,,
65326,pyörähtää,twirl,twirl,pyörähtää,,,,,
65327,pyöräillä,bike,bike,pyöräillä,,,,,
65328,päihdyttää,intoxicate,intoxicate,päihdyttää,,,,,
65329,päihittää,outsmart,outsmart,päihittää,,,,,
65330,päihtyä,get drunk,get drunk,päihtyä,,,,,
65331,päivitellä,bemoan,bemoan,päivitellä,,,,,
65332,päivittää,update,update,päivittää,,,,,
65333,päivystää,be on call,be on call,päivystää,,,,,
65334,päivätä,date,date,päivätä,,,,,
65335,päkistää,strain,strain,päkistää,,,,,
65336,pälkähtää päähän,come to mind,come to mind,pälkähtää päähän,,,,,
65337,pälpättää,chatter,chatter,pälpättää,,,,,
65338,pälyillä,glance,glance,pälyillä,,,,,
65339,pälättää,prattle,prattle,pälättää,,,,,
65340,pämppäillä,booze,booze,pämppäillä,,,,,
65341,pämpätä,booze,booze,pämpätä,,,,,
65342,pänniä,annoy,annoy,pänniä,,,,,
65343,päntätä,study,study,päntätä,,,,,
65344,päristä,buzz,buzz,päristä,,,,,
65345,päristää,snort,snort,päristää,,,,,
65346,pärjätä,be fine,be fine,pärjätä,,,,,
65347,pärskyä,splash,splash,pärskyä,,,,,
65348,pärskähdellä,do,do,pärskähdellä,,,,,
65349,pätevöidä,qualify,qualify,pätevöidä,,,,,
65350,pätevöityä,qualify,qualify,pätevöityä,,,,,
65351,päteä,apply,apply,päteä,,,,,
65352,pätkiä,cut into pieces,cut into pieces,pätkiä,,,,,
65353,pätkäistä,english,english,pätkäistä,,,,,
65354,päällystää,coat,coat,päällystää,,,,,
65355,päärmätä,hem,hem,päärmätä,,,,,
65356,päästä läpi,get through,get through,päästä läpi,,,,,
65357,päästä,get to,get to,päästä,,,,,
65358,päästää,release,release,päästää,,,,,
65359,päätellä,fasten off,fasten off,päätellä,,,,,
65360,päättyä,be up,be up,päättyä,,,,,
65361,päättää,decide,decide,päättää,,,,,
65362,päätyä,end up,end up,päätyä,,,,,
65363,pöhöttyä,bloat,bloat,pöhöttyä,,,,,
65364,pökerryttää,stun,stun,pökerryttää,,,,,
65365,pökertyä,become stunned,become stunned,pökertyä,,,,,
65366,pölistä,emit dust,emit dust,pölistä,,,,,
65367,pölliä,steal,steal,pölliä,,,,,
65368,pöllyttää,spank,spank,pöllyttää,,,,,
65369,pöllytä,do,do,pöllytä,,,,,
65370,pölyttää,dust,dust,pölyttää,,,,,
65371,pölytä,make dust,make dust,pölytä,,,,,
65372,pönkittää,prop up,prop up,pönkittää,,,,,
65373,pöpistä,twaddle,twaddle,pöpistä,,,,,
65374,pörhistellä,do,do,pörhistellä,,,,,
65375,pörhistyä,english,english,pörhistyä,,,,,
65376,pörhistää,ruffle,ruffle,pörhistää,,,,,
65377,pöristä,drone,drone,pöristä,,,,,
