antibacterial,antibakteerinen
antibiotic,antibioottinen
antigenic,antigeeninen
some,antiguabarbudalainen
antique,antiikki
antique,antiikkinen
anticommunist,antikommunistinen
anticommutative,antikommutatiivinen
antiquarian,antikvaarinen
antimitotic,antimitoottinen
antineoplastic,antineoplastinen
antinomian,antinominen
antisemitic,antisemiittinen
antisemitic,antisemitistinen
antiseptic,antiseptinen
antisocial,antisosiaalinen
antistatic,antistaattinen
antiplatelet,antitromboottinen
fruitful,antoisa
anthropomorphic,antropomorfinen
apathetic,apaattinen
melancholic,apea
simian,apinamainen
apneustic,apneustinen
apocalyptic,apokalyptinen
apochromatic,apokromaattinen
apocryphal,apokryfinen
apologetic,apologeettinen
some,apomagmaattinen
apostolic,apostolinen
some,apriorinen
auxiliary,apumoottorillinen
some,arabialainen
some,arabiankielinen
some,arabiemiirikuntalainen
some,arabiemiraattilainen
some,aramealainen
some,arameankielinen
some,aravalainoitteinen
some,areiolainen
some,argentiinalainen
tender,aristava
aristocratic,aristokraattinen
arithmetic,aritmeettinen
some,arjalainen
tender,arka
archaic,arkaainen
archaic,arkaistinen
sensitive,arkaluonteinen
some,arkaluontoinen
touchy,arkatunteinen
some,arkeeinen
archaeological,arkeologinen
colloquial,arkikielinen
everyday,arkinen
everyday,arkipäiväinen
architectonic,arkkitehtoninen
archetypal,arkkityyppinen
arctic,arktinen
some,armahainen
merciful,armahtava
merciful,armahtavainen
dear,armainen
dear,armas
merciful,armelias
some,armenialainen
some,armeniankielinen
merciful,armias
merciful,armoinen
gifted,armoitettu
merciful,armollinen
ruthless,armoton
aromatic,aromaattinen
fragrant,aromikas
some,arpinen
some,arpisempi
arrogant,arrogantti
artesian,arteesinen
artistic,artistinen
some,arubalainen
unpredictable,arvaamaton
some,arvaamattomampi
some,arveleva
cautious,arvelevainen
dubious,arveluttava
some,arvoinen
honored,arvoisa
enigmatic,arvoituksellinen
precious,arvokas
some,arvokkaampi
worthy,arvollinen
some,arvomerkintäinen
critical,arvosteleva
respected,arvostettu
some,arvostetumpi
worthless,arvoton
some,arvottomampi
prestigious,arvovaltainen
armed,aseellinen
unarmed,aseeton
unarmed,aseistamaton
unarmed,aseistautumaton
armed,aseistautunut
armed,aseistettu
asexual,aseksuaalinen
prejudiced,asenteellinen
aseptic,aseptinen
asphaltic,asfalttinen
irrelevant,asiaankuulumaton
bearing,asiaankuuluva
some,asiakaslähtöinen
proper,asiallinen
appropriate,asianmukainen
relevant,asianomainen
adept,asiantunteva
inappropriate,asiaton
ascetic,askeettinen
stepwise,askelittainen
asocial,asosiaalinen
associative,assosiatiivinen
some,assyrialainen
asthenic,asteeninen
some,asteikollinen
gradual,asteittainen
some,astiallinen
asthmatic,astmaattinen
asthmatic,astmainen
astral,astraalinen
astrological,astrologinen
astronomical,astronominen
habitable,asuinkelpoinen
uninhabited,asumaton
inhabitable,asumiskelpoinen
uninhabitable,asumiskelvoton
homeless,asunnoton
habitable,asuttava
azure,asuuri
azure,asuurinsininen
some,asvalttinen
asymmetric,asymmetrinen
atavistic,atavistinen
some,ateenalainen
atheistic,ateistinen
some,atlanttinen
athletic,atleettinen
atomic,atomaarinen
atomistic,atomistinen
atonal,atonaalinen
